GO_Term	IcSeco
http://purl.obolibrary.org/obo/GO_0099583	0.9359934281536016
http://purl.obolibrary.org/obo/GO_0099580	1.0
http://purl.obolibrary.org/obo/GO_0099581	1.0
http://purl.obolibrary.org/obo/GO_0099555	0.9359934281536016
http://purl.obolibrary.org/obo/GO_0099556	1.0
http://purl.obolibrary.org/obo/GO_0099553	1.0
http://purl.obolibrary.org/obo/GO_0099554	0.8719868563072033
http://purl.obolibrary.org/obo/GO_0099551	0.9359934281536016
http://purl.obolibrary.org/obo/GO_0099552	0.9359934281536016
http://purl.obolibrary.org/obo/GO_0099550	0.7785736415539896
http://purl.obolibrary.org/obo/GO_0099559	1.0
http://purl.obolibrary.org/obo/GO_0099557	1.0
http://purl.obolibrary.org/obo/GO_0099558	0.8513813425724212
http://purl.obolibrary.org/obo/GO_0099566	0.898551983823744
http://purl.obolibrary.org/obo/GO_0099567	1.0
http://purl.obolibrary.org/obo/GO_0099564	1.0
http://purl.obolibrary.org/obo/GO_0099565	1.0
http://purl.obolibrary.org/obo/GO_0099562	1.0
http://purl.obolibrary.org/obo/GO_0099563	0.8513813425724212
http://purl.obolibrary.org/obo/GO_0099560	1.0
http://purl.obolibrary.org/obo/GO_0099561	1.0
http://purl.obolibrary.org/obo/GO_0099568	0.7104623066580025
http://purl.obolibrary.org/obo/GO_0099569	0.8345454119773457
http://purl.obolibrary.org/obo/GO_0051511	0.8513813425724212
http://purl.obolibrary.org/obo/GO_0002588	1.0
http://purl.obolibrary.org/obo/GO_0051512	0.8513813425724212
http://purl.obolibrary.org/obo/GO_0002589	0.8079802844608048
http://purl.obolibrary.org/obo/GO_0051510	0.7563042636365814
http://purl.obolibrary.org/obo/GO_0051515	0.9359934281536016
http://purl.obolibrary.org/obo/GO_0002584	0.7873747707260227
http://purl.obolibrary.org/obo/GO_0051516	0.8513813425724212
http://purl.obolibrary.org/obo/GO_0002585	0.8203108354829798
http://purl.obolibrary.org/obo/GO_0051513	0.8513813425724212
http://purl.obolibrary.org/obo/GO_0002586	0.8719868563072033
http://purl.obolibrary.org/obo/GO_0051514	0.9359934281536016
http://purl.obolibrary.org/obo/GO_0002587	0.9359934281536016
http://purl.obolibrary.org/obo/GO_0002580	0.7873747707260227
http://purl.obolibrary.org/obo/GO_0051519	1.0
http://purl.obolibrary.org/obo/GO_0002581	0.8719868563072033
http://purl.obolibrary.org/obo/GO_0002582	0.898551983823744
http://purl.obolibrary.org/obo/GO_0051517	0.9359934281536016
http://purl.obolibrary.org/obo/GO_0002583	0.7104623066580025
http://purl.obolibrary.org/obo/GO_0051518	0.9359934281536016
http://purl.obolibrary.org/obo/GO_1905920	1.0
http://purl.obolibrary.org/obo/GO_1905921	0.898551983823744
http://purl.obolibrary.org/obo/GO_1905922	1.0
http://purl.obolibrary.org/obo/GO_1905923	1.0
http://purl.obolibrary.org/obo/GO_1905924	0.898551983823744
http://purl.obolibrary.org/obo/GO_1905925	1.0
http://purl.obolibrary.org/obo/GO_1905926	1.0
http://purl.obolibrary.org/obo/GO_1905927	0.898551983823744
http://purl.obolibrary.org/obo/GO_1905928	1.0
http://purl.obolibrary.org/obo/GO_1905929	1.0
http://purl.obolibrary.org/obo/GO_0002599	1.0
http://purl.obolibrary.org/obo/GO_0051522	1.0
http://purl.obolibrary.org/obo/GO_0051523	1.0
http://purl.obolibrary.org/obo/GO_0051520	1.0
http://purl.obolibrary.org/obo/GO_0051521	1.0
http://purl.obolibrary.org/obo/GO_0002595	0.898551983823744
http://purl.obolibrary.org/obo/GO_0051526	1.0
http://purl.obolibrary.org/obo/GO_0002596	1.0
